"","DGRO","EDEN","EIRL","EWGS","EWN","EWO","HEWG","HEZU","IAI","IAK","IAT","IEUS","IGV","IHI","IJK","IJR","IJT","ITA","ITB","IUSG","IVV","IVW","IWF","IWL","IWY","IXN","IYF","IYG","IYJ","IYW","JKD","JKE","JPMV","MCHI","MTUM","QUAL","SCJ","SMIN","SOXX","USMV","WOOD"
"DGRO",1,0.00262528606898801,0.785528209724227,0.897602486158947,0.906887791020876,0.924345053256218,0.941996218039273,0.931475156991397,0.949730211476841,0.969478958069242,0.90331581838308,0.885837812306591,-0.839354282316616,0.956258109589147,0.991037174764293,0.960641212764085,0.972202029049295,0.983028714340867,0.950038346259382,0.988513616715396,0.998181658507929,0.985141443828854,0.984376885949471,0.997040576986637,0.97880827673365,0.970869105453301,0.976952341019477,0.95500375330971,0.995432948068423,0.975581204797355,0.994053301825426,0.966950019766078,0.884430121641804,0.921956164247993,0.951824824384559,0.995101923001839,0.958432565343299,0.873751362056135,0.977914069080296,0.973607124445284,0.980877394469339
"EDEN",0.00262528606898801,1,0.185229811262768,0.115925424936583,0.119976780850741,0.150224506671306,0.057885293317883,0.0818684925780066,0.125020367579803,0.0497696568857548,0.0639618641605895,0.125291959883605,0.133020284197378,-0.0386276638745772,-0.020340237421865,-0.0112649965703034,0.00570205888140147,0.0721547893675816,0.0565120538164751,0.0531020774127452,0.0232442052125165,0.0563620046143158,0.0633058563099046,0.0355070453309932,0.0752032164718604,0.0970636245452487,0.0738125125478574,0.112922130917075,0.00120273510769648,0.0943957923276131,0.0249025042466657,0.081611496857087,-0.0301531986987004,0.138686175069629,0.0647881196442788,0.0335322454720818,0.027364377812541,-0.0775401630046961,0.074964657434604,-0.0762972474743171,0.0855760103448276
"EIRL",0.785528209724227,0.185229811262768,1,0.930959106949446,0.942584433590765,0.914373131998053,0.801076045456652,0.867887218603598,0.715973303976925,0.726342302858787,0.607055018957817,0.956888428868546,-0.52155029300608,0.794916231609832,0.745611040100922,0.647252595845482,0.687759694393184,0.810364234517007,0.86392128191636,0.843772223241579,0.790927834808838,0.850255346875403,0.857771520051393,0.805132933555429,0.867888450196895,0.846024804318067,0.741100601932881,0.730183889991656,0.767214560456013,0.827181919544306,0.78242662339714,0.889098696728522,0.78321108882089,0.85157544777088,0.875732327415549,0.816108805533133,0.817796098028344,0.521324236626569,0.788085145485451,0.764136763951905,0.845198508680563
"EWGS",0.897602486158947,0.115925424936583,0.930959106949446,1,0.984834605700393,0.975527561345597,0.845663949682227,0.889254821740995,0.81193838772252,0.827482375487608,0.694935481148505,0.975858602494311,-0.708306633828535,0.925193553707261,0.864278239380203,0.777333738351735,0.811397013476153,0.924843117846241,0.945200632452155,0.943972113559368,0.902997281434032,0.950980246965431,0.953825340147242,0.912630544658342,0.95931768248575,0.951429741606345,0.841653004205824,0.817656982669981,0.885396805898703,0.931518991630355,0.8985363999549,0.969876829472878,0.925084981613096,0.971249394186486,0.977819434436186,0.915958334873255,0.946781995509819,0.685735723337887,0.904786711721226,0.886382649485179,0.935940833577785
"EWN",0.906887791020876,0.119976780850741,0.942584433590765,0.984834605700393,1,0.984691941742926,0.88068264078823,0.928932694837495,0.829846680855263,0.851544043639869,0.730188487157348,0.986105215854084,-0.718988486181295,0.921512257040511,0.871611301884999,0.789198508936387,0.822257223175908,0.921835104943638,0.931379205086283,0.948710758012144,0.913270840029837,0.954321473407119,0.955939162451003,0.922712731944382,0.962373114717036,0.95278407642878,0.858827992601109,0.838557163427506,0.893104042577835,0.938424994932599,0.91278578025006,0.972080325575374,0.897438692501474,0.950702330592666,0.961878157518698,0.921386437696264,0.937952782575963,0.721612066115395,0.907232029559512,0.900279788342805,0.939288703982926
"EWO",0.924345053256218,0.150224506671306,0.914373131998053,0.975527561345597,0.984691941742926,1,0.899947817897525,0.939255708546483,0.887112301439512,0.897081057605578,0.796495531443382,0.968811406789193,-0.737431999423766,0.915633894683548,0.891509650183868,0.832985354249102,0.861579559519722,0.951060256860868,0.925472130919715,0.959675622200915,0.932004986580079,0.962390669112337,0.965177182558692,0.941848194145222,0.970924004935544,0.970104763079381,0.90210369921076,0.891747861636338,0.919395921468364,0.959327106879673,0.933256868175913,0.975002238365617,0.885175727378796,0.961645853578073,0.963936417430385,0.933233514270596,0.950389706863985,0.751394719256059,0.940122124487677,0.903050142431034,0.96337998652583
"HEWG",0.941996218039273,0.057885293317883,0.801076045456652,0.845663949682227,0.88068264078823,0.899947817897525,1,0.985334469850798,0.940302051423254,0.946965676897622,0.916148312508229,0.870158764351691,-0.786336593230433,0.893654451945977,0.942732877290276,0.921104780078637,0.937233432015192,0.923439089430542,0.879728204772417,0.942234885241548,0.949016886112709,0.936505181776219,0.93577624401932,0.951930582538618,0.933790734825073,0.936824655607759,0.949904835194401,0.94698097524462,0.938875939255046,0.950374141171375,0.955341760592456,0.922932293835285,0.793327293555831,0.853141168262501,0.882956985486626,0.940592348615047,0.901761175521617,0.873967819275527,0.951035215781824,0.916072719749629,0.949573364689738
"HEZU",0.931475156991397,0.0818684925780066,0.867887218603598,0.889254821740995,0.928932694837495,0.939255708546483,0.985334469850798,1,0.917994307409265,0.92894684304119,0.876928081341211,0.918583164471125,-0.752567609942297,0.891347991347553,0.917766909465969,0.879470308528372,0.902097958898165,0.924906451488629,0.892535650406933,0.945592490952253,0.93861719146357,0.942808723040668,0.943820589045442,0.94544867230327,0.946279147715625,0.943554234728115,0.93040588148528,0.927917252685347,0.923995166183528,0.949981166347471,0.944285979653725,0.943045290986903,0.806032588414596,0.873237818934938,0.90511326184457,0.933179995970283,0.907059952902652,0.820532468562626,0.93990742391057,0.910987486610053,0.95200164662516
"IAI",0.949730211476841,0.125020367579803,0.715973303976925,0.81193838772252,0.829846680855263,0.887112301439512,0.940302051423254,0.917994307409265,1,0.989633311312322,0.977793909421285,0.810209922826338,-0.778195723677323,0.861256905802424,0.948072517208345,0.966261410677281,0.972310129982431,0.955610413106052,0.859665239552522,0.9315001847695,0.954150019528492,0.922720915238552,0.923795404122893,0.955312952907758,0.918906873049019,0.929701155855765,0.991461751913944,0.997379749871201,0.959140559661263,0.943839890188278,0.95557669848077,0.899110052791027,0.762392540389921,0.863757540736434,0.868875561318853,0.937931724165205,0.89791044545415,0.871334254718845,0.963233619681973,0.887374767585633,0.954713317101219
"IAK",0.969478958069242,0.0497696568857548,0.726342302858787,0.827482375487608,0.851544043639869,0.897081057605578,0.946965676897622,0.92894684304119,0.989633311312322,1,0.971043498323559,0.828345847349733,-0.804400753839416,0.891515751300545,0.96740092631904,0.973403205288359,0.978695379361484,0.963730823444777,0.878313134893353,0.948553399466109,0.97214315027752,0.940863881221651,0.940201356434625,0.971634244995997,0.934612795154291,0.9387237463258,0.995703093133811,0.991925600457258,0.97596786224012,0.951672597466137,0.972792229381604,0.917037021057779,0.796478218579194,0.868339091775102,0.887916161549255,0.955752399906883,0.916534455773087,0.888951940714568,0.966419284241571,0.922926454216554,0.962033760254653
